,Text,Star,Compound Value,,,
172,I am unable to update the chrome kindly look into it and help me sorting out this,1,0.7096,0,,
173,This app not updating on my phone. So tell me that how I am updating this app .. Thanks,1,0.4404,0,,
174,Thise app good and i love it but i gave 1star because when i download any movie it take many time.,1,0.5499,0,,
175,Takes 5 ever but it's having help right L S,1,0.8641,1,,
176,Super,1,0.5994,1,,
177,Why I can't update? I have tried the link given but the result still the same. Is it okay for me NOT to update? Will it effect the Chrome performance?,1,0.4386,0,,
178,If I update a chrome its updated but I open and use chrome it asking me to update but I updated the chrome I using chrome in samsung tablet version 4.1.2 please solve my issue please my tab samsung tab 3,1,0.7964,0,,
179,good,1,0.4404,1,,
180,Bilkul bakar ha apps bhout jaldi ya apps hank karne lagta ha aoor ubdate Kar rha hu to ubdate bhi nhi ho rha ha,1,0.7351,0,,
181,Nice app for us guys 2,1,0.4215,1,,
182,Very useful for me keep using guys good app !!!,1,0.7887,1,,
183,Better,1,0.4404,1,,
184,It is very nice application the application developer unless you delete them,1,0.4754,1,,
185,"This was good but the newest update makes way harder to navigate. By like why did you remove the ""open in new tab"" it was so useful and now these groups make it harder to browse.",1,0.8837,0,,
186,Not working. Worst update for mobile devices,1,0.5096,0,,
187,Thanks Best Western Union Bank LTD for you and broth and Jell-O salad for lunch tomorrow,1,0.7964,0,,
188,Good,1,0.4404,1,,
189,Card view was much better! I definitely need it to be returned,1,0.7088,0,,
190,I can't able to update my Google chrome please I need help asap,1,0.6124,0,,
191,Very good,1,0.4927,1,,
192,❤😙,1,0.8979,1,,
193,Good,1,0.4404,1,,
194,Previous version was much better,1,0.4404,1,,
195,It doesn't update.. Worst experience...,1,0.5096,0,,
196,"I'm unable to get it to update on or off wifi for months on my new, fully activated an LG Velvet! All I get is a rotating, pending updates circle wheel each time I have tried! It says pending up top and has a grayed out open button that read update prior to tapping it. (I am using my phone in Dark Mode when and where it can apply it). The button was next to a still pressable cancel button! I get infinite loop tapping the red update line in the righthand browser menu in Chrome or via store! Help!",1,0.5673,0,,
197,Not able to update the app from play store 😔,1,0.4019,0,,
198,good,1,0.4404,1,,
199,I have looked out on my phone as a security I came with the phone and it came up and gave me a red flag saying that Chrome is a vulnerability fix immediately it's the only one that said that about so I'm deleting my Chrome I'm using brave now,1,0.5994,0,,
200,Man o man am I ever glad I didn't update this app . After reading the reviews I have realized it would not be a good idea to update it. So for now I'm going to stick with the previous version. One would assume that the smart people at Google would do a bit more research before fixing something that isn't broke. For the most part Google has been pretty good for me so I hope the next update will be a little more thought out and have a lot more positive reviews because this one had practically none,1,0.9571,0,,
201,Very nice 👌👌😊👌👌👌👌👌👌👌👌👌👌👌👌 you have you,1,0.9982,1,,
202,"I don't know why there is a need to update a thing that's worling totally fine. I am on a tablet and the chrome works really bad after the update. I got a tip for those who *accidently* updated chrome. Uninstall it and then don't update again And for the people with pc browser, use Brave browser, it is really nice working browser better than chrome nowadays. (No promo) And this is for the devs,🖕",1,0.7713,0,,
203,Whoever approved the new UI changes definitely forgot to check UX. 0 rating on the New UX.,1,0.6705,0,,
204,Google is always safe,1,0.4404,1,,
205,"Why it's not updating from play store ??? Also why it's not removing or deleting ??? Dear team, Plz sort out otherwise I will give zero rating",1,0.4261,0,,
206,"Worked just as desired until the update that forced tab groups. I don't want or need groups, so please give us the option of doing this instead of forcing it on us. At least give me the option to open a link into the same tab group. Why does it only give the option to open in a new group?! Google chrome? More like Google fail. Looks like it's back to Firefox until this gets resolved again.",1,0.579,0,,
207,I am unable to update it ..tried many times but same result .kindly help me out,1,0.8338,0,,
208,"Buggy as of Feb 2021. Many sites don't work or the app freezes. Took away desktop mode before you ask for a web page when adding a new tab so sites send you to Google play store and they don't give you a chance to use them in desktop mode, New bugs especially in page organizing functions. If they fix all the recent bugs created in the past 2 months & had the ability to save websites to view later or open in the background like Firefox it would get 5 stars",1,0.9062,0,,
209,"Grouped tabs on a phone, I love having to squint to see what used to be easy to flip between. And no way to turn it off.",1,0.7096,0,,
210,My app has simply refused to update. I press the update button and it does nothing . So I guess injyst disable and use a different browser? Very sad because I live Chrome. But I've been unable to update for the past 4 devices.. what gives? Please help. Thanks,1,0.8366,0,,
211,It keeps telling me I have an update but will not update no matter how many times I try and it is messing with my phone. Please fix this.,1,0.4646,0,,
212,Absolutely nothing loads. I lost everything I was searching for and had saved. It force quits whenever I open it. I tried uninstalling the update and restarting and it's still garbage.,1,0.5806,0,,
213,👌,1,0.7297,1,,
214,"Nevermind my issue was not fixed with recent update; still reloads last page after starting a new search. The change to the tabs section is what's preventing 5, stars, like grouped tabs, are people gonna open like 6 groups of 10 tabs each with a different category? I just wish I could switch that back it's just useless and annoying but looks like I gotta switch browsers instead 🤷 opera here I come least there I don't have to see celebrity gossip labeled as ""news""",1,0.4118,0,,
215,Went from amazing to garbage. After the last update it will no longer refresh or load any relevant news. Just a few repetitive junk news articles. Please fix this garbage update.,1,0.4404,0,,
216,"Get rid of the tabs! Looks like the people at Google who design the GUI for the Chrome browser have never heard the saying, ""If it ain't broke don't fix it."" I was just fine with a list of tabs to flip through like it used to be up till a few days ago. I don't need mini views of each open page to remind me what I've been doing - I'm not an idiot - and I definitely don't need a piece of my screen real estate taken over to show me what tabs belong to the group. This is a ""feature"" no one needs.",1,0.8916,0,,
217,Nice app,1,0.4215,1,,
218,I couldn't able to update my chrome from past 1 year.. please help,1,0.6124,0,,
219,Can't even update it what a lol kind of app!!,1,0.5242,0,,
220,Help,1,0.4019,0,,
221,Wont even install. Has been trying to install for days and continuously freezes. Pretty dissapointing.,1,0.4767,0,,
222,Please add dark mode like samsung browser,1,0.5859,0,,
223,Why I can't install the latest version of Chrome..... it's showing here to update but not starting 😭,1,0.5157,0,,
224,"How to disable tab groups: Open Chrome Type, ""chrome://flags/"" Search, ""Tab Groups"" Disable results. Profit.",1,0.4404,0,,
225,Awesome,1,0.6249,1,,
226,This version is not getting updated on this Honor 10 device.,1,0.5789,0,,
227,Nice,1,0.4215,1,,
228,"The recent update made it rubbish, I switched to another browser , but still have chrome in mobile either fix it or users like me will uninstall it",1,0.5023,0,,
229,Chrome is not update option so please tell me,1,0.4572,0,,
230,It worked great but for some reason there are days it completely crashes and I can't use it! So i have to use other browser apps that don't have any of my bookmarks and tabs that were opened when chrome was working!,1,0.4826,0,,
231,Need improvement,1,0.4588,1,,
232,Nice,1,0.4215,1,,
233,"I specifically remember asking Google for help due to my information being stolen and I asked for a"" security key "" I ended up using the one that is built in to the phone, however when I had to factory so now I cannot get it to my Google account and reset it, I guess I reset the security key too ALL OF MY PERSONAL DATA AND INFORMATION IS IN THE ACCOUNT,, MY NAME AND SOCIAL SECURITY NUMBER ARE FLAGGED FOR IDENTITY THEFT, I'M SAYING THAT I WILL File a claim against Google ,",1,0.8159,0,,
234,Heart of 6 mobile,1,0.6369,1,,
235,Never had a problem with this app unitl recently. Not working properly and I can not update this app. 😔😔😔,1,0.4867,0,,
236,The app was working great until this recent update. It gets crashing nd the screen stops working in between while using this app. Google should look into it and resolve this ASAP. Not expected this kind of update from Google,1,0.7269,0,,
237,Good,1,0.4404,1,,
238,Good app,1,0.4404,1,,
239,Its good,1,0.4404,1,,
240,👌👌,1,0.9055,1,,
241,Microsoft gang forever 😤💙,1,0.6369,0,,
242,"Chrome is good, I trust this update will make it better.",1,0.8442,1,,
